"","Species","rMax","MassKG","Log10MassKG","Herbivory"
"573","Macropus dorsalis","0.365815072689105rmaxmaxmax","11.24996pewpewpew",1.05115097828648,1
"574","Macropus eugenii","0.418166436017131","5.03724",0.702192643371623,1
"575","Macropus fuliginosus","0.325363431196516","26.90735pewpewpew",1.42987092789946,1
"576","Macropus giganteus","0.307720524934425","41.454945pewpewpew",1.61757634328483,1
"577","Macropus parma","0.34439706734328rmaxmaxmax","4.20331",0.623591421012966,1
"578","Macropus parryi","0.295787758315392","12.62983",1.10139750490539,1
"579","Macropus robustus","0.329356854980509","29.6479",1.47199393713667,1
"580","Macropus rufogriseus","0.370515845981816","16.525",1.21814146815768,1
"581","Macropus rufus","0.352344144429547","35.729195pewpewpew",1.55302323139986,1
"586","Madoqua guentheri","0.521243559526896","4.55",0.658011396657112,1
"587","Madoqua kirkii","0.413238743470065","4.8334",0.684252737742716,1
"588","Madoqua piacentinii","0.45128748138355rmaxmaxmax","3.25",0.511883360978874,1
"589","Madoqua saltiana","0.432701344632818","3.337235",0.523386789696382,1
"690","Moschus anhuiensis","0.514643110944633","12.488705",1.09651740710814,1
"691","Moschus cupreus","0.432436397163279","12.907785",1.11085172291631,1
"692","Moschus leucogaster","0.432436397163279rmaxmaxmax","12.907785",1.11085172291631,1
"693","Moschus moschiferus","0.521393728590474","12.907785",1.11085172291631,1
"770","Nanger dama","0.550005543537712","73",1.86332286012046,1
"771","Nanger granti","0.453107917561842","61.23223",1.78698007617686,1
"772","Nanger soemmerringii","0.312591576049714","41.58293",1.61891508715996,1
"836","Okapia johnstoni","0.310301673367497","230.00114pewpewpew",2.3617299886023,1
"841","Onychogalea fraenata","0.462251627831619","5.226025",0.718171482952745,1
"845","Oreamnos americanus","0.326583452144492","77.2277",1.88777310084663,1
"846","Oreotragus oreotragus","0.402015991388795","13",1.11394335230684,1
"849","Oryctolagus cuniculus","2.50039853190275","1.9",0.278753600952829,1
"850","Oryx beisa","0.333016608349778","103.75",2.01598810538413,1
"851","Oryx dammah","0.304493735214809","177.5",2.24919835739111,1
"852","Oryx gazella","0.307130300071251","37.5",1.57403126772772,1
"853","Oryx leucoryx","0.30473700533826","121.35",2.08403978066795,1
"869","Ourebia ourebi","0.364969000848244","17.18609",1.23517708177282,1
"871","Ovis ammon","0.463826266635401rmaxmaxmax","160",2.20411998265592,1
"872","Ovis canadensis","0.364086128225311","69.125pewpewpew",1.83963514431275,1
"873","Ovis dalli","0.33711350467353","70.19413",1.84630079567398,1
"874","Ovis nivicola","0.311550126055502","69.125",1.83963514431275,1
"881","Ozotoceros bezoarticus","0.404473436229022","34.6204",1.53933208135535,1
"947","Petauroides volans","0.306908935972361","1.141",0.0572856444182146,1
"954","Petrogale concinna","0.362814175301254","1.3241pewpewpew",0.121920785563038,1
"955","Petrogale herberti","0.344055440642932","6.4658pewpewpew",0.810622266894819,1
"956","Petrogale inornata","0.304136033572738","4.55552",0.658537957651714,1
"957","Petrogale lateralis","0.345541928188368","5.28394",0.722957877485855,1
"959","Petrogale persephone","0.288052852172066","5.58563",0.747072164039473,1
"961","Petrogale xanthopus","0.354748377981236","7.249995",0.860337707057455,1
"967","Phascolarctos cinereus","0.319052646179484","5.64687",0.751807789696765,1
"1005","Procapra gutturosa","0.419507834388569","28.27427",1.45139140089849,1
"1006","Procavia capensis","0.410623550811709rmaxmaxmax","2.75",0.439332693830263,1
"1044","Pseudois nayaur","0.419076720680633","52.33457",1.71878866019588,1
"1067","Rangifer tarandus","0.397745061295662","101.25",2.00539503188671,1
"1083","Redunca fulvorufula","0.392464251048472","30",1.47712125471966,1
"1084","Redunca redunca","0.39","41.644475",1.61955739142887,1
"1105","Rucervus duvaucelii","0.257899383668622","171.22386pewpewpew",2.23356428338036,1
"1107","Rupicapra pyrenaica","0.319587750638297","31.633175",1.50014278394161,1
"1108","Rupicapra rupicapra","0.270117169663289rmaxmaxmax","35.383175",1.54879680039714,1
"1109","Rusa alfredi","0.337181635411347","63",1.79934054945358,1
"1110","Rusa timorensis","0.350461449043314","63",1.79934054945358,1
"1124","Saiga tatarica","0.637062241244894","37.992005pewpewpew",1.57969221373,1
"1146","Setonix brachyurus","0.395690750011432","2.82115",0.450426178122897,1
"1223","Sylvilagus cognatus","2.8552755866313","1.20719",0.0817756292171633,1
"1225","Sylvilagus floridanus","2.82530009146155","1.178595",0.0713645943384486,1
"1227","Sylvilagus palustris","1.08305387660589","1.233pewpewpew",0.0909630765957317,1
"1228","Sylvilagus robustus","2.8552755866313","1.20719",0.0817756292171633,1
"1229","Sylvilagus transitionalis","2.72492573314413","1.15pewpewpew",0.0606978403536116,1
"1230","Syncerus caffer","0.234194991453382","646.33299pewpewpew",2.81045632366104,1
"1253","Tapirus bairdii","0.313636011121679","300",2.47712125471966,1
"1254","Tapirus indicus","0.24183248638462rmaxmaxmax","296.25",2.47165835901816,1
"1255","Tapirus pinchaque","0.256208109410307","148.95",2.17304050755106,1
"1256","Tapirus terrestris","0.302059775066789rmaxmaxmax","225",2.35218251811136,1
"1270","Tetracerus quadricornis","0.576531361822424","19",1.27875360095283,1
"1287","Thylogale billardierii","0.370158454355919","5.43293",0.735034109449407,1
"1288","Thylogale brunii","0.404696389793357","4.796",0.680879174426811,1
"1289","Thylogale stigmatica","0.39745622755542","4.305735",0.634047297299074,1
"1290","Thylogale thetis","0.321410593683914","4.599975",0.662755471379063,1
"1299","Tragelaphus angasii","0.351546616061498","100.66667",2.0028857026181,1
"1300","Tragelaphus buxtoni","0.302773669593006","216.500375",2.33545865293091,1
"1301","Tragelaphus eurycerus","0.290151637428446","270.99837",2.43296667868941,1
"1302","Tragelaphus imberbis","0.288685737315377","82.5",1.91645394854993,1
"1303","Tragelaphus scriptus","0.346231879130029","43.25039pewpewpew",1.63599002796463,1
"1304","Tragelaphus spekii","0.369678980640577","87.5",1.94200805302231,1
"1305","Tragelaphus strepsiceros","0.32027816508557","206.05641",2.31398612909758,1
"1333","Vicugna vicugna","0.290005115584144","50",1.69897000433602,1
"1335","Vombatus ursinus","0.307750441177235rmaxmaxmax","25.75",1.41077723337721,1
"1348","Wallabia bicolor","0.412361255700363","14.812475",1.17062763036709,1
